dataset,mean_agreement,high_agreement_frac,improvement,base_mse,mean_gate
ETTm2,0.4761904776096344,0.3229166666666667,-4.881164656784091,2.4293406009674072,0.314732164144516
ETTm2,0.3422618806362152,0.08333333333333333,-2.1904886631681277,3.6187620162963867,0.103422611951828
ETTm2,0.3601190745830536,0.19791666666666666,-4.1544611928287765,0.883878231048584,0.1845238208770752
ETTm2,0.4464286267757416,0.34375,0.4091096181017831,18.18873405456543,0.302827388048172
ETTm2,0.5654762387275696,0.4583333333333333,3.919718204518113,16.39585304260254,0.419642835855484
ETTm2,0.6934523582458496,0.625,12.099268350130002,4.759902000427246,0.6108631491661072
ETTm2,0.6428571343421936,0.6354166666666666,4.634981846943628,5.727792263031006,0.5811011791229248
ETTm2,0.3720238208770752,0.17708333333333334,-2.6563060047158533,20.50370979309082,0.1711309403181076
ETTm2,0.3958333730697632,0.3125,-10.104593642488274,30.049087524414062,0.26413694024086
ETTm2,0.2529762089252472,0.14583333333333334,3.9744214447916275,1.2682809829711914,0.121279776096344
ETTm2,0.2708333730697632,0.11458333333333333,1.9448375105433922,46.34599304199219,0.1056547686457634
ETTm2,0.7916667461395264,0.78125,15.539385723571769,2.832174062728882,0.7507439255714417
ETTm2,0.4761904776096344,0.2604166666666667,-0.5690512419366403,7.1944427490234375,0.2507440447807312
ETTm2,0.4077381193637848,0.3229166666666667,3.3029569490541517,8.046189308166504,0.273809552192688
ETTm2,0.5714285969734192,0.59375,49.31788809340215,2.6648428440093994,0.5171130895614624
ETTm2,0.5148809552192688,0.5625,8.570136246480835,30.039703369140625,0.4650297462940216
ETTm2,0.255952388048172,0.13541666666666666,4.14786133545202,18.360450744628906,0.1272321492433548
ETTm2,0.452380895614624,0.3333333333333333,-19.24816261247913,2.487769842147827,0.2916666567325592
ETTm2,0.3660714328289032,0.07291666666666667,5.353382621511757,13.227150917053223,0.113095223903656
ETTm2,0.9077380299568176,0.96875,28.61286809872502,22.062179565429688,0.9166666865348816
ETTm2,0.7648809552192688,0.6979166666666666,6.316232574486777,83.98444366455078,0.6860119700431824
ETTm2,0.267857164144516,0.08333333333333333,-21.183638698050284,21.257614135742188,0.089285708963871
ETTm2,0.660714328289032,0.7083333333333334,-4.504694173251433,29.407114028930664,0.6264881491661072
ETTm2,0.3720237910747528,0.13541666666666666,18.52031907761149,2.873337507247925,0.1443452388048172
ETTm2,0.2589285671710968,0.041666666666666664,-2.9557789716374594,16.155805587768555,0.0602678507566452
ETTm2,0.6666666865348816,0.5,5.3935853731027255,37.32614517211914,0.5014880895614624
ETTm2,0.5476190447807312,0.46875,19.339412326438747,6.629880428314209,0.4308035671710968
ETTm2,0.6607142090797424,0.5625,-8.33729923941025,5.777700901031494,0.555059552192688
ETTm2,0.5476190447807312,0.4479166666666667,20.182792709400545,9.125394821166992,0.42038694024086
ETTm2,0.5089285969734192,0.5520833333333334,2.5158607689619576,13.14245319366455,0.4479166567325592
ETTm2,0.511904776096344,0.5104166666666666,14.191823730550759,5.7797064781188965,0.4203869104385376
ETTm2,0.7321429252624512,0.9166666666666666,27.109209004524494,0.288284033536911,0.7648809552192688
ETTm2,0.3630952835083008,0.20833333333333334,7.458935442477098,1.4912489652633667,0.2038690447807312
ETTm2,0.4047618806362152,0.21875,-1.7156734446766575,19.044496536254883,0.2284226268529892
ETTm2,0.7589285969734192,0.8645833333333334,-6.841306459249069,15.91038990020752,0.7529761791229248
ETTm2,0.2470238208770752,0.0625,-19.689780325530755,1.7170289754867554,0.0662202388048172
ETTm2,0.3273809552192688,0.07291666666666667,2.486684125335208,5.762035369873047,0.0930059477686882
